pitch#,type,locationX,locationY,velocity,strike,swing
1,1,183,119,87,false,false
2,1,166,128,86,false,false
3,1,272,473,86,true,true
4,3,150,244,77,false,false
5,3,468,301,78,false,false
6,1,287,126,83,false,false
7,1,337,482,85,false,false
8,1,380,358,85,true,true
9,1,397,467,83,false,false
10,1,182,279,85,true,true
11,1,417,470,85,false,false
12,1,372,317,85,true,true
13,1,402,402,86,true,false
14,4,178,387,79,true,true
15,4,191,424,79,true,true
16,1,206,125,85,false,false
17,1,296,156,86,true,true
18,4,161,478,80,false,false
19,3,351,96,76,false,false
20,1,312,100,86,false,false
21,1,236,368,84,true,true
22,1,384,107,84,true,true
23,3,294,426,76,true,true
24,3,186,369,78,true,true
25,1,139,190,85,false,false
26,3,266,130,77,false,false
27,1,334,380,86,true,true
28,1,383,403,85,true,true
29,4,409,488,77,false,false
30,3,302,326,75,true,false
31,1,410,374,85,true,false
32,4,188,325,79,true,false
33,4,187,481,79,true,true
34,1,293,201,84,true,true
35,2,210,329,74,true,true
36,3,417,518,77,false,false
37,1,440,162,84,true,true
38,3,295,448,76,true,true
39,4,267,459,78,true,true
40,1,222,92,83,false,false
41,3,199,410,77,true,true
42,3,438,478,78,false,false
43,3,158,187,78,false,false
44,4,173,137,80,false,false
45,1,228,411,84,true,true
