pitch#,type,locationX,locationY,velocity,strike,swing
1,1,150,381,81,false,false
2,1,196,382,80,true,false
3,1,148,334,81,false,false
4,1,386,317,79,true,true
5,1,142,423,84,false,false
6,1,125,416,83,false,false
7,1,318,420,82,true,false
8,1,313,454,81,false,false
9,3,434,461,69,false,false
10,1,182,217,80,true,true
11,1,369,226,82,true,true
12,3,405,390,70,true,false
13,1,445,404,81,false,false
14,1,289,415,82,true,true
15,1,155,238,82,true,true
16,3,300,368,70,true,true
17,3,458,368,70,false,false
18,1,350,425,83,true,false
19,1,270,430,82,true,true
20,1,171,305,82,true,true
21,3,157,391,72,false,false
22,1,414,297,82,true,true
23,3,330,345,70,false,false
24,1,436,434,81,false,false
25,1,450,461,81,false,false
26,1,264,390,80,true,true
27,3,183,318,70,true,true
28,3,354,309,82,true,true
29,1,455,161,81,false,false
30,1,182,352,83,true,true
31,3,287,466,71,false,false
32,3,165,467,68,false,false
33,1,301,344,81,true,true
34,1,184,372,81,true,true
35,3,268,333,68,true,false
36,1,317,386,84,true,true
37,1,422,470,78,false,false
38,1,198,202,85,true,true
