pitch#,type,locationX,locationY,velocity,strike,swing
1,1,205,472,92,false,false
2,1,206,132,92,true,true
3,1,148,423,91,false,true
4,3,423,475,80,false,true
5,1,153,319,94,false,false
6,1,194,387,91,true,true
7,3,400,421,74,true,true
8,1,206,184,92,true,true
9,3,411,337,79,true,true
10,1,191,429,91,true,false
11,1,381,379,92,true,true
12,3,155,370,73,false,true
13,1,362,419,90,true,true
14,1,370,300,90,true,true
15,3,389,489,72,false,false
16,1,410,382,88,true,true
17,4,294,486,80,false,false
18,1,439,397,90,false,true
19,3,423,361,78,true,true
20,1,166,320,88,true,true
21,1,350,395,88,true,true
22,3,265,404,70,true,true
23,3,245,359,71,true,true
24,1,212,334,90,true,true
25,1,137,318,91,false,true
26,3,227,216,71,true,false
27,3,190,287,75,true,false
28,3,225,416,75,true,true
29,1,151,284,91,true,true
30,3,381,461,72,false,false
31,3,167,253,70,false,false
32,1,417,314,90,true,false
33,1,470,473,90,false,false
34,1,135,342,85,false,false
35,3,374,132,74,false,false
36,3,252,474,75,false,false
37,1,157,136,91,true,true
38,1,162,174,90,true,true
39,3,402,363,78,true,true
40,1,131,143,92,false,true
41,3,458,455,78,false,false
42,1,261,286,91,true,true
43,3,238,345,73,true,false
44,3,415,498,77,false,false
45,3,335,367,71,false,false
46,1,372,332,93,true,true
47,3,185,355,70,true,true
