pitch#,type,locationX,locationY,velocity,strike,swing
1,1,364,401,88,true,false
2,1,300,314,85,true,true
3,3,429,477,77,false,false
4,1,296,238,87,true,true
5,1,345,325,87,true,true
6,1,408,295,88,true,false
7,1,317,123,88,false,false
8,1,396,256,87,true,true
9,1,343,476,86,false,false
10,1,402,365,86,true,false
11,1,403,334,89,true,false
12,1,300,447,85,true,false
13,1,456,230,88,false,false
14,4,185,277,76,true,true
15,1,470,273,88,false,false
16,1,388,300,88,true,true
17,3,275,476,77,false,false
18,1,196,360,88,true,true
19,1,285,136,88,true,true
20,1,404,400,86,true,false
21,1,300,281,87,true,true
22,1,470,347,87,false,false
23,1,375,366,86,true,true
24,1,190,317,86,true,true
25,1,147,352,87,false,false
26,1,205,395,87,true,true
27,4,292,175,82,true,true
28,1,139,129,87,false,false
29,1,271,268,88,true,false
30,1,292,511,87,false,false
31,3,365,271,77,true,false
32,1,441,307,88,false,false
33,1,415,372,87,true,true
34,1,304,371,85,true,true
35,1,416,319,86,true,false
36,1,448,159,86,false,false
37,3,367,428,77,true,true
38,1,303,338,87,true,false
39,3,324,347,77,true,true
40,1,342,125,88,false,false
41,1,384,332,87,true,true
42,1,418,295,87,true,false
43,1,226,296,88,true,true
44,3,416,126,77,false,false
45,3,266,343,76,true,true
46,1,245,481,88,false,false
47,1,267,394,86,true,true
48,3,337,256,78,true,false
49,3,461,385,76,false,false
50,1,353,369,86,true,true
51,1,447,189,87,false,false
52,1,397,327,86,true,false
53,1,442,271,86,true,true
54,1,404,331,86,true,true
55,3,297,416,79,true,true
56,1,469,192,87,false,false
57,1,375,232,86,true,true
58,1,258,193,87,true,true
