pitch#,type,locationX,locationY,velocity,strike,swing
1,1,397,320,85,true,false
2,1,337,329,86,true,true
3,2,138,242,75,false,false
4,1,246,250,86,true,true
5,2,323,437,72,true,true
6,1,308,163,85,true,true
7,1,327,280,86,true,true
8,3,347,483,75,true,true
9,1,263,309,86,true,true
10,2,290,474,71,false,false
11,2,399,504,74,false,false
12,1,98,314,85,false,false
13,1,455,281,86,false,false
14,1,249,370,85,true,true
15,4,372,437,77,true,true
16,1,193,293,86,true,true
17,1,457,396,84,false,false
18,1,297,401,83,true,false
19,1,397,119,84,false,false
20,1,379,268,84,true,false
21,2,320,388,72,true,true
22,3,387,356,70,true,true
23,1,361,299,84,true,true
24,1,207,236,86,true,true
25,2,343,367,70,true,true
26,1,195,130,86,true,true
27,1,187,259,85,true,true
28,4,190,314,77,true,true
29,1,254,474,85,false,false
30,1,472,335,84,false,false
31,1,293,545,84,false,false
32,1,293,336,84,true,true
33,1,297,370,88,true,true
34,2,474,442,70,false,false
35,1,139,396,84,false,false
36,1,255,126,84,true,true
37,1,220,340,83,true,false
38,2,318,355,69,true,false
39,1,397,291,84,true,true
40,2,384,469,73,true,true
41,1,437,340,86,false,false
42,1,423,466,85,false,false
43,1,312,122,84,false,false
44,1,357,193,84,true,true
45,1,438,384,84,true,true
46,1,364,114,80,true,true
