pitch#,type,locationX,locationY,velocity,strike,swing
1,1,326,301,87,true,true
2,1,373,359,88,true,true
3,3,300,397,73,true,false
4,3,379,480,77,false,false
5,1,228,483,84,false,false
6,1,195,363,85,true,false
7,1,322,484,88,false,false
8,1,406,396,86,true,true
9,1,444,465,87,false,false
10,1,320,118,86,false,false
11,1,418,479,84,false,false
12,1,426,479,85,false,false
13,1,356,331,83,true,true
14,1,196,484,84,false,false
15,1,294,478,84,false,false
16,1,283,110,85,false,false
17,1,217,311,84,true,false
18,3,432,499,74,false,false
19,1,242,382,84,true,true
20,1,416,359,83,true,true
21,3,396,494,72,true,true
22,1,261,423,83,true,true
23,4,264,114,73,true,false
24,1,352,124,84,false,false
25,1,391,125,83,true,true
26,1,310,395,82,true,false
27,1,439,165,84,false,false
28,1,410,421,83,true,false
29,1,395,417,86,true,false
30,1,413,402,86,true,true
31,1,409,425,85,true,true
32,1,300,102,84,false,false
33,1,412,219,86,true,true
34,1,437,525,87,false,false
35,1,205,294,86,true,true
36,1,376,418,69,true,true
